,index,day,nP,nV,comm rate,discount,n trav,n drivers,fare,commision,revenue,income,mean wait rh,mean wait rp,mean travel rp,mean income,mean expected wait rh,mean expected wait rp,mean expected travel rp,mean expected income,mean prob rh,mean prob rs,n exp,learned rh,learned rp,learned,learned drivers,conv rp,conv rh,conv supply,shareability,n actually sharing,n shared rides,unserved,comm,shared,out,rh,rp,share out,share rh,share rp,share drivers,$c$,$p$,best_one
31,31,196.5,300,40,0.9,0.09999999999999999,126.0,12.333333333333334,772.7276666666667,184.4759,579.2660999999999,425.9002666666667,161.39094375633414,163.53449721007624,369.032863739829,36.51572365079365,201.07012962962963,205.45083333333335,375.301,33.90055726327474,0.14407336699233833,0.2635118820215681,300.0,277.0,282.1666666666667,281.0,33.0,0.00042730503268962277,0.0004395651918296067,0.006107888489172199,-0.00023301497328221668,1.0,0.5,0.16666666666666666,0.9,0.09999999999999999,174.0,44.833333333333336,81.16666666666667,0.58,0.14944444444444446,0.27055555555555555,0.30833333333333335,0.9,0.1,False
32,32,21.5,900,30,0.09999999999999999,0.3,28.833333333333332,0.5,146.01113333333333,42.4564,4.700266666666667,-7.755983333333333,403.8055555555556,422.4239926739927,350.44993894993894,-15.511966666666666,790.8724228395062,798.3039259259259,787.5437160493826,4.889193725903533,0.0133456506846715,0.0193253647316598,71.5,15.833333333333334,18.666666666666668,857.0,21.333333333333332,0.05083628466639476,0.03648947672125441,0.0,-0.0090245892246971,5.666666666666667,2.8333333333333335,19.5,0.09999999999999999,0.3,871.1666666666666,10.666666666666666,18.166666666666668,0.9679629629629629,0.011851851851851851,0.020185185185185188,0.016666666666666666,0.1,0.3,False
33,33,196.5,700,40,0.7000000000000001,0.19999999999999998,267.8333333333333,14.833333333333334,1503.8184,553.4997999999999,883.4046666666667,606.1859166666666,209.65387915337408,214.57224492156436,395.6486809260464,44.173807755417954,229.5555238095238,254.2727261904762,436.6013571428571,37.52421730418305,0.1441276805290944,0.24246503583932888,698.0,622.5,615.1666666666666,628.5,23.0,0.00035140971097697023,0.00041091901321735434,0.008246527120003577,0.041011681070614335,76.16666666666667,38.0,11.5,0.7000000000000001,0.19999999999999998,432.1666666666667,106.83333333333333,161.0,0.6173809523809524,0.1526190476190476,0.23,0.37083333333333335,0.7,0.2,False
34,34,196.5,700,10,1.0999999999999999,0.09999999999999999,172.0,9.166666666666666,1042.244,85.07729999999991,956.4914333333335,711.8660166666667,244.21043493543493,253.0518959598286,372.2111155951058,77.3863375462963,460.026134920635,479.24642063492064,503.89251190476193,75.41697455239921,0.08810717317423893,0.16532437299379238,661.6666666666666,502.1666666666667,528.3333333333334,658.0,0.0,0.0023518403393004666,0.000437900117367152,0.002583666824433117,0.0031754663252145667,1.0,0.5,1.6666666666666667,1.0999999999999999,0.09999999999999999,528.0,65.0,107.0,0.7542857142857143,0.09285714285714286,0.15285714285714286,0.9166666666666666,1.1,0.1,False
35,35,196.5,700,60,0.9,0.0,173.66666666666666,15.833333333333334,1097.2056666666667,320.31183333333325,747.1065,549.9665,113.25088893157483,,,36.89111538172354,132.53935714285717,0.0,350.64142857142855,30.47454533708168,0.24793566534336267,0.0,696.8333333333334,695.0,0.0,542.0,55.0,,inf,0.0017931252046533331,0.0,0.0,0.0,0.0,0.9,0.0,526.3333333333334,173.66666666666666,0.0,0.751904761904762,0.2480952380952381,0.0,0.2638888888888889,0.9,0.0,False
36,36,196.5,900,50,1.0999999999999999,0.39999999999999997,503.8333333333333,40.333333333333336,2382.1294000000003,-379.16713333333365,2781.5531333333342,2379.7052166666667,75.79778170366193,74.56882181303949,447.8744681545433,59.09702595446952,77.08542592592592,78.56381481481482,437.1288148148149,57.83882391852089,0.2005081423379902,0.3574418476022123,900.0,898.0,900.0,899.0,1.0,0.0,0.0,0.004865151365595284,0.048892904851715685,316.3333333333333,157.5,0.0,1.0999999999999999,0.39999999999999997,396.1666666666667,181.5,322.3333333333333,0.4401851851851852,0.20166666666666666,0.3581481481481481,0.8066666666666668,1.1,0.4,False
37,37,196.5,500,50,0.9,0.39999999999999997,238.66666666666666,21.333333333333332,1135.3412,55.40546666666659,1084.104,881.0765,106.30152534204443,107.1823181231441,460.2596903938299,42.669552222080746,150.34716666666665,141.87328333333335,463.9862666666667,39.070189405520914,0.1779137610100395,0.3109854108208936,500.0,466.6666666666667,479.0,467.6666666666667,30.0,0.0001605664303628101,8.21171713073992e-05,0.0075324012901449,0.03744921952704936,144.0,71.66666666666667,0.0,0.9,0.39999999999999997,261.3333333333333,86.83333333333333,151.83333333333334,0.5226666666666666,0.17366666666666666,0.3036666666666667,0.42666666666666664,0.9,0.4,False
38,38,145.5,300,40,0.7000000000000001,0.19999999999999998,101.5,6.333333333333333,550.9158666666666,206.3968666666667,337.33559999999994,209.5131,262.9681536441447,265.5000742085912,370.8203596090037,35.14306097222222,258.49122222222223,283.71577777777776,397.0253611111111,27.5371317001949,0.12251681076630438,0.21262884862195888,297.0,255.33333333333334,262.6666666666667,269.3333333333333,38.0,0.0004318157752279219,0.0010972696643886334,0.0022994161773215167,0.02622099255862027,16.666666666666668,8.333333333333334,3.3333333333333335,0.7000000000000001,0.19999999999999998,198.5,35.666666666666664,65.83333333333333,0.6616666666666666,0.11888888888888888,0.21944444444444444,0.15833333333333333,0.7,0.2,False
39,39,196.5,700,50,0.9,0.39999999999999997,367.5,30.166666666666668,1761.9256666666668,62.3608999999999,1692.7617000000002,1388.5646166666666,86.09541242220801,92.83020086607924,468.96198398414936,46.644215535785406,95.41152380952383,99.33116666666668,445.4732380952382,46.01881570208479,0.19208519557971074,0.3355218157701523,700.0,697.0,700.0,697.0,12.0,4.211616706874063e-05,7.886929744161999e-05,0.0058000720694024325,0.04243817019365592,230.0,114.33333333333333,0.0,0.9,0.39999999999999997,332.5,131.66666666666666,235.83333333333334,0.475,0.1880952380952381,0.33690476190476193,0.6033333333333334,0.9,0.4,False
40,40,196.5,300,30,1.0999999999999999,0.0,61.166666666666664,9.0,385.37100000000004,53.679499999999955,315.5588333333334,243.14633333333333,150.44494410915019,,,28.56860523569024,182.58249999999998,0.0,346.96666666666664,30.12360367426355,0.202563555810811,0.0,294.0,292.3333333333333,0.0,249.0,25.0,,inf,0.00602944002136235,0.0,0.0,0.0,0.0,1.0999999999999999,0.0,238.83333333333334,61.166666666666664,0.0,0.7961111111111111,0.20388888888888887,0.0,0.3,1.1,0.0,False
