veh,nRIDES,nREJECTED,DRIVING_TIME,DRIVING_DIST,COMMISSION,REVENUE,COST,NET_INCOME,OUT,STARTS_DAY,OPENS_APP,RECEIVES_REQUEST,ACCEPTS_REQUEST,REJECTS_REQUEST,IS_ACCEPTED_BY_TRAVELLER,IS_REJECTED_BY_TRAVELLER,ARRIVES_AT_PICKUP,MEETS_TRAVELLER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,CONTINUES_SHIFT,STARTS_REPOSITIONING,REPOSITIONED,DECIDES_NOT_TO_DRIVE,ENDS_SHIFT,worked_days,experienced,perc_income,learned,util_d,util_nd,prob_d,drive_decision,day
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,False,44.64416183681824,False,4.464416183681824,4.64304836736365,0.4554603275371195,drive,1
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,False,33.044904359914675,False,3.3044904359914677,5.281818871982935,0.12160391639386581,out,1
20,21.0,0.0,8876.0,88.76,10.537519999999999,94.83767999999998,22.19,72.64767999999998,False,0,106.0,210.0,280.0,0,3372.0,0,0.0,630.0,5504.0,11497.0,0,0,0,0,0,1,False,51.33280737625961,False,5.133280737625961,3.3633369505038475,0.8544506803037747,drive,1
1,19.0,0.0,7032.0,70.32000000000001,8.523200000000001,76.7088,17.580000000000002,59.1288,False,0,50.0,210.0,280.0,0,2361.0,0,0.0,570.0,4671.0,13457.0,0,0,0,0,0,1,False,49.798102069339095,False,4.97981020693391,5.132956827735639,0.46178800061607705,out,2
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,False,30.495735579913955,False,3.049573557991396,2.9518691159827917,0.5244066977411779,out,2
3,13.0,0.0,6374.0,63.74,7.39424,66.54816,15.935,50.61315999999999,False,0,1038.0,180.0,221.0,0,1793.0,0,19.0,390.0,4581.0,13377.0,0,0,0,0,0,2,False,43.02081270401159,False,4.3020812704011595,3.748193622406953,0.6350370838209825,drive,2
4,14.0,0.0,6333.0,63.33,8.12924,73.16315999999999,15.8325,57.330659999999995,False,0,309.0,150.0,182.0,0,2218.0,0,18.0,420.0,4115.0,14187.0,0,0,0,0,0,1,False,52.844707315954494,False,5.28447073159545,5.3192529263818,0.4913053278543801,out,2
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,2,False,46.734627781278384,False,4.673462778127838,4.965943112511357,0.42739674887196016,drive,2
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,2,False,49.94021039578999,False,4.994021039579,4.540186158315999,0.6115506235208092,out,2
7,16.0,0.0,6867.0,68.67,7.913360000000001,71.22024,17.1675,54.05274,False,0,60.0,210.0,280.0,0,2384.0,0,0.0,480.0,4483.0,13702.0,0,0,0,0,0,2,False,53.69287163653502,False,5.369287163653502,4.199788981921007,0.7630542977386128,out,2
